
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
21,Kevin Garnett,PF,6-11,240,May 19 1976,,20,
9,Ricky Rubio,PG,6-4,194,October 21 1990,,4,
15,Shabazz Muhammad,SG,6-6,223,November 13 1992,,2,University of California Los Angeles
5,Gorgui Dieng,C,6-11,241,January 18 1990,,2,University of Louisville
14,Nikola Pekovic,C,6-11,307,January 3 1986,,5,
22,Andrew Wiggins,SG,6-8,199,February 23 1995,,1,University of Kansas
8,Zach LaVine,PG,6-5,189,March 10 1995,,1,University of California Los Angeles
33,Adreian Payne,PF,6-10,237,February 19 1991,,1,Michigan State University
10,Damjan Rudez,SF,6-10,228,June 17 1986,,1,
32,Karl-Anthony Towns,C,7-0,244,November 15 1995,,R,University of Kentucky
1,Tyus Jones,PG,6-2,195,May 10 1996,,R,Duke University
88,Nemanja Bjelica,PF,6-10,240,May 9 1988,,R,
12,Tayshaun Prince,SF,6-9,212,February 28 1980,,13,University of Kentucky
4,Greg Smith,PF,6-10,250,January 8 1991,,4,California State University Fresno
