,Unnamed: 0,SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,CFID,CFPARAMS,champs
0,0,41996,1610612737,Atlanta Hawks,82,56,26,0.683,49.7,34.3,76.9,0.446,8.0,22.4,0.36,18.2,23.8,0.763,12.5,28.7,41.1,19.0,15.0,8.5,5.2,4.0,18.4,0.1,94.8,5.4,10,Atlanta Hawks,0.0
1,1,41996,1610612738,Boston Celtics,82,15,67,0.183,50.1,37.4,85.0,0.44,5.7,16.2,0.351,20.1,26.8,0.75,13.3,26.7,40.0,21.9,16.4,9.9,3.8,6.8,21.7,0.1,100.6,-7.3,10,Boston Celtics,0.0
2,2,41996,1610612766,Charlotte Hornets,82,54,28,0.659,49.8,36.4,77.3,0.471,7.2,16.9,0.428,18.8,24.2,0.777,11.1,28.0,39.1,24.6,14.7,7.3,4.3,4.1,19.9,0.2,98.9,1.9,10,Charlotte Hornets,0.0
3,3,41996,1610612741,Chicago Bulls,82,69,13,0.841,49.6,40.0,84.4,0.473,6.4,17.1,0.373,16.8,22.5,0.747,15.1,30.0,45.1,26.1,13.5,8.7,4.0,3.5,18.4,0.2,103.1,10.8,10,Chicago Bulls,1.0
4,4,41996,1610612739,Cleveland Cavaliers,82,42,40,0.512,50.2,33.0,72.8,0.453,5.9,15.7,0.376,15.6,21.6,0.723,11.1,26.3,37.4,20.9,14.5,8.0,3.8,4.3,21.1,0.2,87.5,1.8,10,Cleveland Cavaliers,0.0
5,5,41996,1610612742,Dallas Mavericks,82,24,58,0.293,49.9,34.3,78.7,0.436,5.2,16.0,0.326,16.8,23.4,0.717,12.7,27.6,40.3,20.3,16.1,8.0,4.3,5.3,20.5,0.2,90.6,-6.4,10,Dallas Mavericks,0.0
6,6,41996,1610612743,Denver Nuggets,82,21,61,0.256,50.2,35.8,81.5,0.439,7.8,20.9,0.372,18.5,24.3,0.761,12.1,29.9,42.0,23.0,16.6,6.1,5.9,5.5,20.4,0.2,97.8,-6.3,10,Denver Nuggets,0.0
7,7,41996,1610612765,Detroit Pistons,82,54,28,0.659,49.9,34.5,74.3,0.464,7.1,18.3,0.388,18.1,24.3,0.745,10.5,27.9,38.4,19.0,12.7,7.7,3.5,3.4,18.6,0.2,94.2,5.2,10,Detroit Pistons,0.0
8,8,41996,1610612744,Golden State Warriors,82,30,52,0.366,50.1,36.5,80.1,0.456,5.9,16.6,0.353,20.7,26.6,0.778,13.2,27.5,40.8,22.2,17.2,7.5,4.4,4.8,20.2,0.1,99.6,-4.7,10,Golden State Warriors,0.0
9,9,41996,1610612745,Houston Rockets,82,57,25,0.695,49.9,37.0,79.1,0.468,8.2,22.4,0.365,18.3,24.3,0.755,11.3,31.3,42.6,24.5,16.6,8.4,4.2,4.5,18.4,0.2,100.6,4.5,10,Houston Rockets,0.0
10,10,41996,1610612754,Indiana Pacers,82,39,43,0.476,50.4,34.8,76.3,0.456,5.2,13.8,0.381,20.6,28.5,0.722,12.5,29.1,41.7,21.3,16.3,7.1,4.8,5.1,22.1,0.3,95.4,1.0,10,Indiana Pacers,0.0
11,11,41996,1610612746,Los Angeles Clippers,82,36,46,0.439,50.3,36.5,81.7,0.446,5.8,16.3,0.354,18.5,25.3,0.731,13.3,27.3,40.7,20.3,16.0,8.9,5.4,5.1,22.7,0.1,97.2,-2.4,10,Los Angeles Clippers,0.0
12,12,41996,1610612747,Los Angeles Lakers,82,56,26,0.683,50.3,36.8,81.0,0.454,6.7,18.3,0.367,19.7,28.4,0.692,13.3,29.4,42.8,22.5,14.9,9.0,7.0,4.7,20.7,0.1,100.0,4.3,10,Los Angeles Lakers,0.0
13,13,41996,1610612748,Miami Heat,82,61,21,0.744,50.0,34.4,76.0,0.453,8.3,22.7,0.364,17.7,24.7,0.719,11.7,29.3,41.0,21.2,15.9,7.9,5.4,4.8,21.2,0.3,94.8,5.5,10,Miami Heat,0.0
14,14,41996,1610612749,Milwaukee Bucks,82,33,49,0.402,49.7,36.2,76.9,0.471,4.0,11.2,0.352,19.0,25.7,0.741,11.6,27.6,39.2,19.6,15.7,7.7,4.2,4.8,21.6,0.1,95.3,-1.9,10,Milwaukee Bucks,0.0
15,15,41996,1610612750,Minnesota Timberwolves,82,40,42,0.488,49.8,35.8,78.5,0.456,4.5,13.3,0.34,20.0,26.6,0.751,11.7,28.1,39.7,22.9,15.2,7.5,6.8,5.4,20.7,0.2,96.1,-1.5,10,Minnesota Timberwolves,0.0
16,16,41996,1610612751,New Jersey Nets,82,26,56,0.317,49.7,36.5,86.5,0.422,5.9,16.7,0.353,18.3,24.8,0.74,17.2,29.0,46.2,21.0,15.7,8.3,5.9,6.3,21.2,0.2,97.2,-4.6,10,New Jersey Nets,0.0
17,17,41996,1610612752,New York Knicks,82,57,25,0.695,50.3,35.1,75.9,0.463,5.7,15.8,0.363,19.3,25.8,0.748,11.9,30.7,42.5,22.1,17.8,7.7,4.6,3.6,22.7,0.2,95.4,3.1,10,New York Knicks,0.0
18,18,41996,1610612753,Orlando Magic,82,45,37,0.549,49.9,34.6,79.2,0.437,6.9,20.3,0.341,18.0,24.1,0.746,13.1,27.1,40.1,20.6,15.2,8.5,4.4,5.1,19.1,0.1,94.1,-0.4,10,Orlando Magic,0.0
19,19,41996,1610612755,Philadelphia 76ers,82,22,60,0.268,49.7,36.6,83.5,0.438,5.3,16.5,0.319,21.7,29.9,0.725,15.5,28.7,44.2,20.7,17.5,8.3,4.8,6.0,19.9,0.1,100.2,-6.5,10,Philadelphia 76ers,0.0
20,20,41996,1610612756,Phoenix Suns,82,40,42,0.488,49.9,38.3,81.8,0.469,6.4,17.4,0.369,19.7,25.9,0.761,11.2,29.0,40.1,25.2,14.4,8.1,3.9,4.5,19.9,0.1,102.8,0.7,10,Phoenix Suns,0.0
21,21,41996,1610612757,Portland Trail Blazers,82,49,33,0.598,50.1,36.6,78.8,0.464,6.1,17.1,0.358,19.7,27.6,0.713,12.9,30.4,43.3,20.8,16.5,7.8,5.3,5.2,21.5,0.2,99.0,4.2,10,Portland Trail Blazers,0.0
22,22,41996,1610612758,Sacramento Kings,82,34,48,0.415,50.0,36.6,80.6,0.454,5.0,12.9,0.391,18.2,25.2,0.723,13.4,28.1,41.5,21.9,16.2,7.2,4.4,5.2,22.8,0.1,96.4,-3.4,10,Sacramento Kings,0.0
23,23,41996,1610612759,San Antonio Spurs,82,20,62,0.244,49.7,34.5,77.9,0.442,4.6,14.4,0.32,16.9,23.5,0.719,13.4,26.0,39.4,20.3,15.2,7.9,5.3,5.5,19.9,0.2,90.4,-7.9,10,San Antonio Spurs,0.0
24,24,41996,1610612760,Seattle SuperSonics,82,57,25,0.695,49.9,36.5,78.2,0.467,6.8,19.3,0.353,21.0,28.0,0.752,12.3,27.7,40.0,23.5,15.0,11.0,4.7,5.2,20.7,0.2,100.9,7.7,10,Seattle SuperSonics,0.0
25,25,41996,1610612761,Toronto Raptors,82,30,52,0.366,49.9,35.3,80.9,0.437,7.2,19.8,0.363,17.6,24.5,0.72,13.8,27.5,41.3,20.9,16.4,8.8,6.3,5.4,22.0,0.1,95.5,-3.1,10,Toronto Raptors,0.0
26,26,41996,1610612762,Utah Jazz,82,64,18,0.78,50.3,38.2,75.8,0.504,4.1,11.0,0.37,22.7,29.5,0.769,10.8,29.4,40.2,26.8,15.4,9.1,5.1,4.5,22.6,0.2,103.1,8.8,10,Utah Jazz,0.0
27,27,41996,1610612763,Vancouver Grizzlies,82,14,68,0.171,49.7,34.4,78.7,0.437,5.4,15.5,0.349,15.0,21.1,0.709,12.5,26.3,38.8,22.7,15.9,8.0,5.7,5.6,20.0,0.1,89.2,-10.2,10,Vancouver Grizzlies,0.0
