,SEASON_ID,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,CFID,CFPARAMS,TEAM_PER,FTHELP
0,41996,1610612737,Atlanta Hawks,82,56,26,0.683,49.7,34.3,76.9,0.446,8.0,22.4,0.36,18.2,23.8,0.763,12.5,28.7,41.1,19.0,15.0,8.5,5.2,4.0,18.4,0.1,94.8,5.4,10,Atlanta Hawks,14.0389028377,40
1,41996,1610612738,Boston Celtics,82,15,67,0.183,50.1,37.4,85.0,0.44,5.7,16.2,0.351,20.1,26.8,0.75,13.3,26.7,40.0,21.9,16.4,9.9,3.8,6.8,21.7,0.1,100.6,-7.3,10,Boston Celtics,14.819005019,30
2,41996,1610612766,Charlotte Hornets,82,54,28,0.659,49.8,36.4,77.3,0.471,7.2,16.9,0.428,18.8,24.2,0.777,11.1,28.0,39.1,24.6,14.7,7.3,4.3,4.1,19.9,0.2,98.9,1.9,10,Charlotte Hornets,14.3119913486,33
3,41996,1610612741,Chicago Bulls,82,69,13,0.841,49.6,40.0,84.4,0.473,6.4,17.1,0.373,16.8,22.5,0.747,15.1,30.0,45.1,26.1,13.5,8.7,4.0,3.5,18.4,0.2,103.1,10.8,10,Chicago Bulls,18.0077190475,27
4,41996,1610612739,Cleveland Cavaliers,82,42,40,0.512,50.2,33.0,72.8,0.453,5.9,15.7,0.376,15.6,21.6,0.723,11.1,26.3,37.4,20.9,14.5,8.0,3.8,4.3,21.1,0.2,87.5,1.8,10,Cleveland Cavaliers,14.0855978887,25
5,41996,1610612742,Dallas Mavericks,82,24,58,0.293,49.9,34.3,78.7,0.436,5.2,16.0,0.326,16.8,23.4,0.717,12.7,27.6,40.3,20.3,16.1,8.0,4.3,5.3,20.5,0.2,90.6,-6.4,10,Dallas Mavericks,13.5966821789,37
6,41996,1610612743,Denver Nuggets,82,21,61,0.256,50.2,35.8,81.5,0.439,7.8,20.9,0.372,18.5,24.3,0.761,12.1,29.9,42.0,23.0,16.6,6.1,5.9,5.5,20.4,0.2,97.8,-6.3,10,Denver Nuggets,14.3925135551,40
7,41996,1610612765,Detroit Pistons,82,54,28,0.659,49.9,34.5,74.3,0.464,7.1,18.3,0.388,18.1,24.3,0.745,10.5,27.9,38.4,19.0,12.7,7.7,3.5,3.4,18.6,0.2,94.2,5.2,10,Detroit Pistons,15.3242150551,39
8,41996,1610612744,Golden State Warriors,82,30,52,0.366,50.1,36.5,80.1,0.456,5.9,16.6,0.353,20.7,26.6,0.778,13.2,27.5,40.8,22.2,17.2,7.5,4.4,4.8,20.2,0.1,99.6,-4.7,10,Golden State Warriors,14.7338997553,30
9,41996,1610612745,Houston Rockets,82,57,25,0.695,49.9,37.0,79.1,0.468,8.2,22.4,0.365,18.3,24.3,0.755,11.3,31.3,42.6,24.5,16.6,8.4,4.2,4.5,18.4,0.2,100.6,4.5,10,Houston Rockets,16.5283083068,38
